Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
839	0.305125	161	0.906832	0.885928	839	0.305125	0.402000	0.401189	
821	0.372716	179	0.921788	0.885928	821	0.372716	0.471000	0.401453	
818	0.343521	182	0.917582	0.885928	818	0.343521	0.448000	0.401629	
823	0.313487	177	0.926554	0.885928	823	0.313487	0.422000	0.401705	
820	0.379268	180	0.933333	0.885928	820	0.379268	0.479000	0.401995	
815	0.314110	185	0.935135	0.885928	815	0.314110	0.429000	0.402096	
832	0.329327	168	0.940476	0.885928	832	0.329327	0.432000	0.402207	
860	0.298837	140	0.921429	0.885928	860	0.298837	0.386000	0.402147	
804	0.342040	196	0.862245	0.885928	804	0.342040	0.444000	0.402301	
834	0.344125	166	0.903614	0.885928	834	0.344125	0.437000	0.402429	
834	0.297362	166	0.891566	0.885928	834	0.297362	0.396000	0.402405	
833	0.319328	167	0.868263	0.885928	833	0.319328	0.411000	0.402436	
838	0.343675	162	0.925926	0.885928	838	0.343675	0.438000	0.402566	
837	0.314217	163	0.883436	0.885928	837	0.314217	0.407000	0.402582	
851	0.301998	149	0.932886	0.885928	851	0.301998	0.396000	0.402558	
819	0.339438	181	0.911602	0.885928	819	0.339438	0.443000	0.402704	
833	0.344538	167	0.892216	0.885928	833	0.344538	0.436000	0.402823	
848	0.337264	152	0.940789	0.885928	848	0.337264	0.429000	0.402916	
813	0.325953	187	0.925134	0.885928	813	0.325953	0.438000	0.403041	
818	0.333741	182	0.912088	0.885928	818	0.333741	0.439000	0.403169	
832	0.329327	168	0.928571	0.885928	832	0.329327	0.430000	0.403264	
827	0.314389	173	0.907514	0.885928	827	0.314389	0.417000	0.403312	
819	0.339438	181	0.872928	0.885928	819	0.339438	0.436000	0.403427	
846	0.307329	154	0.902597	0.885928	846	0.307329	0.399000	0.403411	
811	0.325524	189	0.925926	0.885928	811	0.325524	0.439000	0.403535	
824	0.300971	176	0.914773	0.885928	824	0.300971	0.409000	0.403554	
838	0.344869	162	0.919753	0.885928	838	0.344869	0.438000	0.403673	
815	0.336196	185	0.902703	0.885928	815	0.336196	0.441000	0.403802	
841	0.356718	159	0.905660	0.885928	841	0.356718	0.444000	0.403940	
840	0.380952	160	0.925000	0.885928	840	0.380952	0.468000	0.404160	
845	0.328994	155	0.896774	0.885928	845	0.328994	0.417000	0.404203	
823	0.364520	177	0.892655	0.885928	823	0.364520	0.458000	0.404386	
805	0.306832	195	0.948718	0.885928	805	0.306832	0.432000	0.404480	
842	0.315914	158	0.879747	0.885928	842	0.315914	0.405000	0.404482	
829	0.299156	171	0.888889	0.885928	829	0.299156	0.400000	0.404467	
837	0.363202	163	0.926380	0.885928	837	0.363202	0.455000	0.404636	
816	0.312500	184	0.902174	0.885928	816	0.312500	0.421000	0.404691	
837	0.315412	163	0.932515	0.885928	837	0.315412	0.416000	0.404729	
796	0.344221	204	0.921569	0.885928	796	0.344221	0.462000	0.404919	
823	0.349939	177	0.915254	0.885928	823	0.349939	0.450000	0.405068	
814	0.261671	186	0.892473	0.885928	814	0.261671	0.379000	0.404982	
822	0.302920	178	0.955056	0.885928	822	0.302920	0.419000	0.405028	
825	0.341818	175	0.897143	0.885928	825	0.341818	0.439000	0.405140	
830	0.287952	170	0.905882	0.885928	830	0.287952	0.393000	0.405100	
809	0.243511	191	0.900524	0.885928	809	0.243511	0.369000	0.404982	
824	0.275485	176	0.897727	0.885928	824	0.275485	0.385000	0.404918	
818	0.290954	182	0.934066	0.885928	818	0.290954	0.408000	0.404927	
846	0.330969	154	0.961039	0.885928	846	0.330969	0.428000	0.405002	
815	0.317791	185	0.908108	0.885928	815	0.317791	0.427000	0.405073	
844	0.305687	156	0.955128	0.885928	844	0.305687	0.407000	0.405079	
819	0.332112	181	0.856354	0.885928	819	0.332112	0.427000	0.405149	
831	0.241877	169	0.863905	0.885928	831	0.241877	0.347000	0.404964	
843	0.371293	157	0.891720	0.885928	843	0.371293	0.453000	0.405116	
838	0.368735	162	0.919753	0.885928	838	0.368735	0.458000	0.405284	
813	0.367774	187	0.909091	0.885928	813	0.367774	0.469000	0.405485	
821	0.339829	179	0.916201	0.885928	821	0.339829	0.443000	0.405602	
817	0.357405	183	0.846995	0.885928	817	0.357405	0.447000	0.405732	
825	0.271515	175	0.937143	0.885928	825	0.271515	0.388000	0.405677	
830	0.318072	170	0.935294	0.885928	830	0.318072	0.423000	0.405731	
823	0.332928	177	0.932203	0.885928	823	0.332928	0.439000	0.405834	
838	0.346062	162	0.901235	0.885928	838	0.346062	0.436000	0.405928	
811	0.295931	189	0.957672	0.885928	811	0.295931	0.421000	0.405974	
838	0.354415	162	0.870370	0.885928	838	0.354415	0.438000	0.406073	
826	0.334140	174	0.925287	0.885928	826	0.334140	0.437000	0.406167	
833	0.310924	167	0.916168	0.885928	833	0.310924	0.412000	0.406185	
818	0.333741	182	0.890110	0.885928	818	0.333741	0.435000	0.406273	
824	0.345874	176	0.954545	0.885928	824	0.345874	0.453000	0.406415	
840	0.298810	160	0.918750	0.885928	840	0.298810	0.398000	0.406390	
817	0.342717	183	0.939891	0.885928	817	0.342717	0.452000	0.406527	
845	0.313609	155	0.909677	0.885928	845	0.313609	0.406000	0.406526	
822	0.361314	178	0.932584	0.885928	822	0.361314	0.463000	0.406695	
816	0.316176	184	0.858696	0.885928	816	0.316176	0.416000	0.406723	
834	0.356115	166	0.909639	0.885928	834	0.356115	0.448000	0.406847	
826	0.340194	174	0.902299	0.885928	826	0.340194	0.438000	0.406939	
840	0.344048	160	0.868750	0.885928	840	0.344048	0.428000	0.407002	
815	0.277301	185	0.902703	0.885928	815	0.277301	0.393000	0.406960	
809	0.341162	191	0.926702	0.885928	809	0.341162	0.453000	0.407096	
838	0.365155	162	0.901235	0.885928	838	0.365155	0.452000	0.407228	
826	0.324455	174	0.919540	0.885928	826	0.324455	0.428000	0.407289	
845	0.345562	155	0.909677	0.885928	845	0.345562	0.433000	0.407364	
800	0.306250	200	0.885000	0.885928	800	0.306250	0.422000	0.407407	
827	0.331318	173	0.924855	0.885928	827	0.331318	0.434000	0.407484	
844	0.317536	156	0.884615	0.885928	844	0.317536	0.406000	0.407480	
833	0.327731	167	0.946108	0.885928	833	0.327731	0.431000	0.407548	
829	0.340169	171	0.877193	0.885928	829	0.340169	0.432000	0.407618	
836	0.322967	164	0.939024	0.885928	836	0.322967	0.424000	0.407665	
833	0.337335	167	0.892216	0.885928	833	0.337335	0.430000	0.407729	
819	0.328449	181	0.961326	0.885928	819	0.328449	0.443000	0.407830	
811	0.371147	189	0.888889	0.885928	811	0.371147	0.469000	0.408005	
846	0.330969	154	0.928571	0.885928	846	0.330969	0.423000	0.408047	
821	0.292326	179	0.899441	0.885928	821	0.292326	0.401000	0.408027	
842	0.304038	158	0.924051	0.885928	842	0.304038	0.402000	0.408010	
