Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
844	0.319905	156	0.923077	0.095685	844	0.319905	0.414000	0.381721	
853	0.334115	147	0.857143	0.095685	853	0.334115	0.411000	0.381829	
845	0.287574	155	0.864516	0.095685	845	0.287574	0.377000	0.381811	
816	0.299020	184	0.913043	0.095685	816	0.299020	0.412000	0.381922	
842	0.390736	158	0.854430	0.095685	842	0.390736	0.464000	0.382221	
824	0.360437	176	0.829545	0.095685	824	0.360437	0.443000	0.382442	
832	0.377404	168	0.892857	0.095685	832	0.377404	0.464000	0.382738	
860	0.379070	140	0.907143	0.095685	860	0.379070	0.453000	0.382991	
848	0.298349	152	0.868421	0.095685	848	0.298349	0.385000	0.382999	
806	0.284119	194	0.840206	0.095685	806	0.284119	0.392000	0.383031	
824	0.387136	176	0.863636	0.095685	824	0.387136	0.471000	0.383345	
826	0.302663	174	0.862069	0.095685	826	0.302663	0.400000	0.383404	
809	0.253399	191	0.884817	0.095685	809	0.253399	0.374000	0.383371	
813	0.277983	187	0.850267	0.095685	813	0.277983	0.385000	0.383377	
789	0.247148	211	0.881517	0.095685	789	0.247148	0.381000	0.383368	
840	0.250000	160	0.850000	0.095685	840	0.250000	0.346000	0.383237	
831	0.269555	169	0.917160	0.095685	831	0.269555	0.379000	0.383222	
821	0.244823	179	0.893855	0.095685	821	0.244823	0.361000	0.383145	
835	0.306587	165	0.872727	0.095685	835	0.306587	0.400000	0.383204	
799	0.395494	201	0.786070	0.095685	799	0.395494	0.474000	0.383518	
833	0.280912	167	0.790419	0.095685	833	0.280912	0.366000	0.383457	
814	0.126536	186	0.865591	0.095685	814	0.126536	0.264000	0.383047	
829	0.340169	171	0.842105	0.090374	829	0.340169	0.426000	0.383194	
809	0.325093	191	0.848168	0.090374	809	0.325093	0.425000	0.383337	
